"gemeinde_id";"name"
"05358020";"Inden"
"05358024";"Jülich"
"05358028";"Kreuzau"
"05358032";"Langerwehe"
"05358040";"Merzenich"
"05358044";"Nideggen"
"05358048";"Niederzier"
"05358052";"Nörvenich"
"05358056";"Titz"
"05358060";"Vettweiß"
"05362004";"Bedburg"
"05362008";"Bergheim"
"05362040";"Wesseling"
"05566052";"Metelen"
"05566056";"Mettingen"
"05566060";"Neuenkirchen"
"05566064";"Nordwalde"
"05566068";"Ochtrup"
